ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,24,0,,0,0,,0,,0
1,Canada,  ,2016,Out,24,0,,0,0,,0,,0
1,Canada,  ,2017,Out,24,0,,0,0,,0,,0
1,Canada,  ,2018,Out,24,0,,0,0,,0,,0
1,Canada,  ,2019,Out,24,0,,0,0,,0,,0
1,Canada,  ,2020,Out,24,0,,0,0,,0,,0
1,United States of America,  ,2016,Out,24,471,0.15,471,0,0,0,0,"324,119"
1,United States of America,  ,2017,Out,24,105,0.03,105,3,2.86,0,0,"324,460"
1,United States of America,  ,2018,Out,24,52,0.02,52,0,0,0,0,"326,767"
1,United States of America,  ,2019,Out,24,129,0.04,129,0,0,0,0,"326,767"
1,United States of America,  ,2020,Out,24,127,0.04,127,0,0,0,0,"326,767"
1,United States of America,DEN 1,2015,Out,24,210,0.06,210,0,0,0,0,"325,128"
1,North America,  ,2015,In,,210,0.06,210,0,0,0,0,"325,128"
1,North America,  ,2016,In,,471,0.15,471,0,0,0,0,"324,119"
1,North America,  ,2017,In,,105,0.03,105,3,2.86,0,0,"324,460"
1,North America,  ,2018,In,,52,0.02,52,0,0,0,0,"326,767"
1,North America,  ,2019,In,,129,0.04,129,0,0,0,0,"326,767"
1,North America,  ,2020,In,,127,0.04,127,0,0,0,0,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,24,"1,373",359.42,283,0,0,0,0,382
2,Belize,"DEN 1,3",2020,Out,24,"1,712",448.17,306,0,0,0,0,382
2,Belize,DEN 2,2015,Out,24,"1,664",478.16,146,,,,,348
2,Belize,DEN 2,2017,Out,24,"1,865",497.33,19,2,0.11,0,0,375
2,Belize,DEN 2,2018,Out,24,617,161.52,14,,,0,0,382
2,Belize,DEN 3,2016,Out,24,"2,251",613.35,86,,,,,367
2,Costa Rica,"DEN 1,2",2017,Out,24,"2,181",44.46,,0,0,0,0,"4,906"
2,Costa Rica,"DEN 1,2",2018,Out,24,975,19.69,152,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2019,Out,24,"1,785",36.04,52,0,0,0,0,"4,953"
2,Costa Rica,"DEN 1,2",2020,Out,24,"4,032",81.41,283,8,0.2,0,0,"4,953"
2,Costa Rica,"DEN 1,2,3",2015,Out,24,"1,708",34.15,0,0,0,0,0,"5,002"
2,Costa Rica,"DEN 1,2,3",2016,Out,24,"9,055",186.43,0,0,0,0,0,"4,857"
2,El Salvador,"DEN 1,2,3",2015,Out,24,"7,304",113.66,"1,325",39,0.53,0,0,"6,426"
2,El Salvador,DEN 2,2016,Out,24,"5,762",93.75,71,138,2.4,0,0,"6,146"
2,El Salvador,DEN 2,2017,Out,24,"1,934",30.32,45,0,0,0,0,"6,378"
2,El Salvador,DEN 2,2018,Out,24,"2,110",32.91,98,1,0.05,0,0,"6,412"
2,El Salvador,DEN 2,2019,Out,24,"4,522",70.52,306,20,0.44,0,0,"6,412"
2,El Salvador,DEN 2,2020,Out,24,"3,306",51.56,28,4,0.12,0,0,"6,412"
2,Guatemala,"DEN 1,2,3,4",2015,Out,24,"6,374",39.21,824,4,0.06,3,0.047,"16,255"
2,Guatemala,"DEN 1,2,3,4",2016,Out,23,"3,050",18.29,326,0,0,0,0,"16,673"
2,Guatemala,"DEN 1,2,3,4",2017,Out,23,"1,381",8.16,,0,0,0,0,"16,914"
2,Guatemala,"DEN 1,2,3,4",2018,Out,24,"2,305",13.37,521,24,1.04,4,0.174,"17,245"
2,Guatemala,"DEN 1,2,3,4",2019,Out,24,"5,689",32.99,449,44,0.77,22,0.387,"17,245"
2,Guatemala,"DEN 1,2,3,4",2020,Out,24,"4,177",24.22,551,13,0.31,7,0.168,"17,245"
2,Honduras,  ,2015,Out,24,"25,309",300.44,0,588,2.32,0,0,"8,424"
2,Honduras,"DEN 1,2",2019,Out,24,"17,452",190.57,36,"4,574",26.21,36,0.206,"9,158"
2,Honduras,"DEN 1,2",2020,Out,24,"15,372",167.85,75,"1,264",8.22,9,0.059,"9,158"
2,Honduras,"DEN 1,2,3",2018,Out,24,"3,703",39.32,,144,3.89,0,0,"9,417"
2,Honduras,DEN 2,2016,Out,24,"14,504",177.09,86,212,1.46,1,0.007,"8,190"
2,Honduras,DEN 2,2017,Out,24,"2,679",28.92,0,48,1.79,0,0,"9,265"
2,Mexico,"DEN 1,2,3",2017,Out,24,"15,439",11.95,"1,793",84,0.54,3,0.019,"129,163"
