Date,Country/Territory,Suspected,Confirmed,Imported Cases,Incidence Rate,Zika Case Deaths,Zika Congenital Syndrome,Population x1000e,Noncumulative Suspected,Noncumulative Confirmed,Noncumulative Zika Case Deaths,Noncumulative Zika Congenital Syndrome
2016-11-17,Paraguay,546,12,0.0,8.297397769516728,0.0,2.0,6725,,,,
2016-11-17,Uruguay,0,0,1.0,0.0,0.0,0.0,344,,,,
2016-11-17,Subtotal ,2367,38,57.0,3.4830842312594137,0.0,3.0,69048,,,,
2016-11-17,Anguilla,40,5,1.0,264.70588235294116,0.0,0.0,17,,,,
2016-11-17,Antigua and Barbuda,393,14,2.0,432.97872340425533,0.0,0.0,94,,,,
2016-11-17,Aruba,614,28,7.0,563.1578947368421,0.0,0.0,114,,,,
2016-11-17,Bahamas,0,21,3.0,5.343511450381679,0.0,0.0,393,,,,
2016-11-17,Barbados,653,37,0.0,237.11340206185568,0.0,0.0,291,,,,
2016-11-17,"Bonaire, St Eustatius and Saba",0,85,0.0,340.0,0.0,0.0,25,,,,
2016-11-17,Cayman Islands,201,29,10.0,403.50877192982455,0.0,0.0,57,,,,
2016-11-17,Curacao,0,820,0.0,550.3355704697987,0.0,0.0,149,,,,
2016-11-17,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,,,,
2016-11-17,Chile,0,0,29.0,0.0,0.0,0.0,18132,,,,
2016-11-17,Grenada,314,108,0.0,380.1801801801802,0.0,1.0,111,,,,
2016-11-17,Jamaica,6449,122,0.0,234.42739921512666,0.0,0.0,2803,,,,
2016-11-17,Montserrat ,0,2,0.0,40.0,0.0,0.0,5,,,,
2016-11-17,Saint Kitts and Nevis,532,26,0.0,1073.076923076923,0.0,0.0,52,,,,
2016-11-17,Saint Lucia,822,50,0.0,531.7073170731708,0.0,0.0,164,,,,
2016-11-17,Saint Vincent and the Grenadines,156,38,0.0,190.19607843137254,0.0,0.0,102,,,,
2016-11-17,Sint Maarten (Dutch part),168,62,0.0,560.9756097560976,0.0,0.0,41,,,,
2016-11-17,Suriname,2755,723,0.0,634.6715328467153,4.0,2.0,548,,,,
2016-11-17,Trinidad and Tobago,0,643,1.0,47.10622710622711,0.0,1.0,1365,,,,
2016-11-17,Turks and Caicos Islands,115,12,3.0,249.01960784313727,0.0,0.0,51,,,,
2016-11-17,Virgin Islands (UK),51,38,0.0,261.7647058823529,0.0,0.0,34,,,,
